Bond_id,Coupon,Yield
1148,6.125,4.582
1149,1.75,2.2338
1150,4.875,4.0277
1151,4.875,4.028
1152,3.391,3.1954
1153,3.5,2.8582
1154,6.25,4.2185
1155,6.25,4.219
1156,3,2.924
1157,3,2.9245
1158,4,4.4023
1159,2.293,1.5264
1160,1.5,2.2301
1161,3.099,3.1426
1162,5,4.7843
1163,4.625,3.4715
1164,4.625,3.471
1165,5.25,4.6653
1166,5.25,4.665
1167,4.375,3.8805
1168,2.496,2.8436
1169,4.625,4.469
1170,2.125,2.7443
1171,4.375,3.2615
1172,4.375,3.261
1173,2.5,2.6492
1174,6.25,4.413
1175,1.35,2.2282
1176,3.875,4.4509
1177,3.875,4.451
1178,2.45,2.4336
1179,2.511,2.8703
1180,7.125,5.5189
1181,7.125,5.519
1182,2.15,2.4649
1183,2.5,2.371
1184,3.9,2.4877
1185,4.875,3.6125
1186,4.875,3.613
1187,6.375,3.654
1188,3.7,2.7796
1189,3.875,2.551
1190,3.875,2.535
1191,2.45,2.8799
1192,2.45,2.852
1193,5.25,4.7482
1194,5,4.0157
1195,5,4.016
1196,2.75,1.921
1197,1.35,1.4128
1198,1.65,1.9899
1199,1.95,1.8962
1200,2.25,2.2331
1201,5.5,3.9604
1202,5.5,3.96
1203,6.5,4.9541
1204,6.5,4.954
1205,2.63,2.365
1206,5.625,3.1227
1207,2.955,2.8829
1208,4.75,3.7615
1209,4.75,3.761
1210,2.516,2.573
1211,6.875,4.917
1212,3.875,2.4966
1213,1.482,1.6813
1214,2.402,2.561
1215,3.25,2.3831
1216,2.1,2.2766
1217,2.413,2.5809
1218,2.1,2.2144
1219,4.95,3.7781
1220,3.042,2.7495
1221,4.25,3.2973
1222,4.25,3.297
1223,4.75,2.5608
1224,3.5,3.053
1225,2.7,2.1843
1226,2.143,1.9421
1227,2.969,2.745
1228,1.85,1.9322
1229,2.8,2.3267
1230,2.682,2.6513
1231,4.625,3.2536
1232,4.625,3.254
1233,2.3,2.106
1234,3.625,2.4312
1235,3.9,3.2062
1236,3.625,3.2854
1237,4,2.4688
1238,4.875,3.1088
1239,4.875,3.109
1240,3,2.9109
1241,1.8,2.1077
1242,4.6,3.314
1243,4.45,4.1339
1244,3.008,2.7838
1245,3.125,2.983
1246,4.375,2.7585
1247,4.375,2.678
1248,3.1,2.86
1249,1.8,1.4592
1250,1.95,2.0281
1251,2.75,2.8833
1252,3,2.333
1253,2.2,2.1713
1254,2.375,2.3182
1255,3.125,3.2435
1256,5.75,3.0155
1257,2.8,1.6269
1258,2.517,2.6218
1259,3.831,2.7864
1260,2.5,2.2081
1261,3.464,2.2148
1262,3.2,2.2905
1263,2.704,2.3068
1264,4.65,1.7858
1265,4.125,3.2346
1266,3.875,2.0595
1267,4.5,2.883
1268,3.7,2.9835
1269,2.65,1.9022
1270,3.8,3.077
1271,4.2,2.278
1272,4.875,2.3724
1273,5.125,3.2327
1274,2.8,1.3385
1275,3.6,2.5291
1276,5.2,2.8085
1277,3.7,1.5146
1278,5.15,3.0168
1279,2.625,1.2858
1280,2.3,2.1931
1281,3.3,3.0997
1282,2.813,2.7329
1283,2.5,2.2575
1284,4.875,4.008
1285,4.875,4.008
1286,4.5,3.7516
1287,2,1.5321
1288,3.35,3.0992
1289,2.65,2.3562
1290,2.375,2.1683
1291,3.5,3.2398
1292,3.5,3.24
1293,3.05,2.9728
1294,6.75,1.6428
1295,4.75,4.1482
1296,4.75,4.148
1297,7.25,5.4236
1298,4,3.3473
1299,4,3.347
1300,2.4,2.1643
1301,3.3,3.1812
1302,4.125,3.4183
1303,4.125,3.418
1304,2.625,2.4791
1305,2.875,2.7924
1306,8,6.7146
1307,2.15,1.3757
1308,2.85,2.4852
1309,3.192,2.8693
1310,3.447,3.1285
